un amphithéâtre;a lecture hall
un arbre;a tree
un bâtiment;a building
un bureau;an office
des bureaux;offices
un café;a café
un campus;a campus
un cinéma;a movie theater
un concert;a concert
un concert de jazz;a jazz concert
un concert de rock;a rock concert
un concert de musique pop;a pop music concert
un concert de musique classique;a classical music concert
un fast-food;a fast-food restaurant
un film;a movie, a film
un match de football américain;a football game
un parc;a park
un parking;a parking lot
un quartier;a neighborhood
un quartier universitaire;a university neighborhood
un restaurant;a restaurant
un stade;a stadium
un théâtre;a theater (for live performances)
le Wi-Fi;Wi-Fi
une bibliothèque;a library
une boîte de nuit;a nightclub
une librairie;a bookstore
une maison;a house
une résidence;a dormitory
une salle de cours;a classroom
une salle de gym;a gym, a fitness club
bon;good
bonne;good
catholique;Catholic
étranger;foreign
étrangère;foreign
joli;pretty
jolie;pretty
mauvais;bad
mauvaise;bad
moderne;modern
populaire;popular
seul;only
seule;only
universitaire;university
Comment est...?;What is... like?
Il y a;There is, There are
Il n’y a pas;There isn’t, There aren’t
Qu’est-ce qu’il y a?;What is there?
assez;enough
assez de;enough of
avec Wi-Fi;with Wi-Fi
beaucoup;a lot
beaucoup de;a lot of
combien;how much, how many
combien de;how much of, how many of
dans;in
des là;there
des là-bas;over there
près de;near
sur;on
ton;your
ta;your
tes;your
un;a, an
une;a, an
