le ciné-club;the cinema club
un classique;a classic
une activité;an activity
la fac;the university, the campus
Qu’est-ce que vous faites?;What are you doing? What do you do? (formal)
Qu’est-ce que tu fais?;What are you doing? What do you do? (informal)
chanter;to sing
commencer;to begin, to start
faire de la musique;to play music
faire du shopping;to go shopping
gagner;to win
jouer au hockey;to play hockey
manger;to eat
nager;to swim
passer chez toi;to go by your house
passer le week-end;to spend the weekend
passer la matinée;to spend the morning
préférer;to prefer
répéter;to repeat
rester au lit;to stay in bed
réviser les cours;to review classes
je vais;I am going, I go
voyager;to travel
très bien;very well
assez bien;fairly well
d’abord;first
d’habitude;usually
jusqu’à;until
très mal;very badly
assez mal;fairly badly
mieux;better
mieux que;better than
jamais;never
presque;almost
quand;when
quelquefois;sometimes
rarement;rarely
souvent;often
toujours;always
chez toi;to your house, at your house, in your house, by your house
le samedi matin;Saturday mornings
le samedi après-midi;Saturday afternoons
le samedi soir;Saturday evenings
le week-end;the weekend, weekends, on the weekend
