Bonjour;Hello, Good morning
Bonsoir;Good evening
monsieur;sir
madame;madam
mademoiselle;miss
Comment allez-vous?;How are you? (formal)
Je vais très bien;I’m doing very well
Assez bien;Fairly well
Comme ci comme ça;So-so
Pas mal;Not bad
Pas très bien;Not very well
Salut!;Hi!, Bye!
Comment ça va?;How’s it going? (informal)
Ça va?;How’s it going? (informal)
Ça va;It’s going fine
Et vous?;And you? (formal)
Et toi?;And you? (informal)
moi;me
merci;thank you
Comment vous appelez-vous?;What’s your name? (formal)
Tu t’appelles comment?;What’s your name? (informal)
Je m’appelle;My name is
Je suis;I am
À bientôt;See you soon
À demain;See you tomorrow
À plus tard;See you later
À plus;See you later
À tout à l’heure;See you in a little while
Au revoir;Good-bye
