Comment?;What?
Répétez, s’il vous plaît;Please repeat
Vous comprenez?;Do you understand?
Oui, je comprends;Yes, I understand
Non, je ne comprends pas;No, I don’t understand
Comment dit-on en français;How does one say in French
Comment dit-on en anglais;How does one say in English
On dit;One says
Je ne sais pas;I don’t know
Qu’est-ce que ça veut dire?;What does that mean?
Ça veut dire;That means
Ça s’écrit comment?;How is that written?
Ça s’écrit avec ou sans accent?;That’s written with or without an accent?
Ça s’écrit;That’s written
Merci;Thanks
Merci bien;Thank you
De rien;You’re welcome
Pardon;Excuse me
Excusez-moi;Excuse me
Le professeur dit aux étudiants;The professor says to the students
Ouvrez votre livre à la page 23;Open your book to page 23
Fermez votre livre;Close your book
Écoutez la question;Listen to the question
Répondez à la question;Answer the question
Allez au tableau;Go to the board
Écrivez la réponse avec une phrase complète;Write the answer with a complete sentence
Prenez une feuille de papier et un crayon ou un stylo;Take out a piece of paper and a pencil or a pen
Faites l’exercice A à la page 21;Do exercise A on page 21
Donnez-moi votre feuille de papier;Give me your piece of paper
Lisez la page 17;Read page 17
Apprenez les mots de vocabulaire;Learn the vocabulary words
Préparez l’examen pour le prochain cours;Prepare for the exam for the next class
Faites les devoirs dans le cahier;Do the homework in the workbook
